ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,DAYS_SINCE_LASTORDER,STATUS,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,CITY,POSTALCODE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,Margen_Ganancia,Categoria_Ventas,Clasificacion_Compra,Estado_Pedido,NuevaColumna
10107,30,95.7,2,2871.0,24/02/2018,828,Shipped,Motorcycles,95,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Small,0.0,Pequeña,Distante,Completado,2871.0
10121,34,81.35,5,2765.9,07/05/2018,757,Shipped,Motorcycles,95,S10_1678,Reims Collectables,26.47.1555,59 rue de l'Abbaye,Reims,51100,France,Henriot,Paul,Small,1.6441207234045487e-16,Pequeña,Distante,Completado,2765.8999999999996
10134,41,94.74,2,3884.34,01/07/2018,703,Shipped,Motorcycles,95,S10_1678,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France,Da Cunha,Daniel,Medium,1.1707197384535446e-16,Pequeña,Distante,Completado,3884.3399999999997
10145,45,83.26,6,3746.7,25/08/2018,649,Shipped,Motorcycles,95,S10_1678,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,90003,USA,Young,Julie,Medium,-1.213727682724702e-16,Pequeña,Distante,Completado,3746.7000000000003
10168,36,96.66,1,3479.76,28/10/2018,586,Shipped,Motorcycles,95,S10_1678,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,94217,USA,Hirano,Juri,Medium,1.3068353877464654e-16,Pequeña,Distante,Completado,3479.7599999999998
10180,29,86.13,9,2497.77,11/11/2018,573,Shipped,Motorcycles,95,S10_1678,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Lille,59000,France,Rance,Martine,Small,0.0,Pequeña,Distante,Completado,2497.77
10188,48,114.84,1,5512.32,18/11/2018,567,Shipped,Motorcycles,95,S10_1678,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,N 5804,Norway,Oeztan,Veysel,Medium,0.0,Mediana,Distante,Completado,5512.32
10211,41,114.84,14,4708.44,15/01/2019,510,Shipped,Motorcycles,95,S10_1678,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",Paris,75016,France,Perrier,Dominique,Medium,-1.931626402317813e-16,Pequeña,Distante,Completado,4708.4400000000005
10223,37,107.18,1,3965.66,20/02/2019,475,Shipped,Motorcycles,95,S10_1678,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Medium,-1.146712907527282e-16,Pequeña,Distante,Completado,3965.6600000000003
10237,23,101.44,7,2333.12,05/04/2019,432,Shipped,Motorcycles,95,S10_1678,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,10022,USA,Frick,Michael,Small,0.0,Pequeña,Distante,Completado,2333.12
10251,28,113.88,2,3188.64,18/05/2019,390,Shipped,Motorcycles,95,S10_1678,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,94019,USA,Brown,William,Medium,0.0,Pequeña,Distante,Completado,3188.64
10263,34,108.14,2,3676.76,28/06/2019,350,Shipped,Motorcycles,95,S10_1678,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,97562,USA,King,Julie,Medium,0.0,Pequeña,Distante,Completado,3676.76
10275,45,92.83,1,4177.35,23/07/2019,326,Shipped,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France,Labrune,Janine,Medium,0.0,Pequeña,Distante,Completado,4177.35
10285,36,113.88,6,4099.68,27/08/2019,292,Shipped,Motorcycles,95,S10_1678,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,51247,USA,Hernandez,Marta,Medium,0.0,Pequeña,Distante,Completado,4099.68
10299,23,112.93,9,2597.39,30/09/2019,259,Shipped,Motorcycles,95,S10_1678,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,21240,Finland,Karttunen,Matti,Small,-1.750785792223979e-16,Pequeña,Distante,Completado,2597.3900000000003
10309,41,107.18,5,4394.38,15/10/2019,245,Shipped,Motorcycles,95,S10_1678,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,Bergulfsen,Jonas,Medium,0.0,Pequeña,Distante,Completado,4394.38
10318,46,94.74,1,4358.04,02/11/2019,228,Shipped,Motorcycles,95,S10_1678,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,70267,USA,Yu,Kyung,Medium,0.0,Pequeña,Distante,Completado,4358.04
10329,42,104.67,1,4396.14,15/11/2019,216,Shipped,Motorcycles,95,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Medium,0.0,Pequeña,Distante,Completado,4396.14
10341,41,188.73,9,7737.93,24/11/2019,208,Shipped,Motorcycles,95,S10_1678,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,5020,Austria,Pipps,Georg,Large,1.1753720979291984e-16,Mediana,Distante,Completado,7737.929999999999
10361,20,72.55,13,1451.0,17/12/2019,186,Shipped,Motorcycles,95,S10_1678,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia,Huxley,Adrian,Small,0.0,Pequeña,Distante,Completado,1451.0
10375,21,34.91,12,733.11,03/02/2020,139,Shipped,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France,Labrune,Janine,Small,1.5507473328915992e-16,Pequeña,Distante,Completado,733.1099999999999
10388,42,76.36,4,3207.12,03/03/2020,111,Shipped,Motorcycles,95,S10_1678,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,50553,USA,Benitez,Violeta,Medium,0.0,Pequeña,Distante,Completado,3207.12
10403,24,101.44,7,2434.56,08/04/2020,76,Shipped,Motorcycles,95,S10_1678,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,WX1 6LT,UK,Devon,Elizabeth,Small,0.0,Pequeña,Moderado,Completado,2434.56
10417,66,113.88,2,7516.08,13/05/2020,42,Disputed,Motorcycles,95,S10_1678,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Large,0.0,Mediana,Moderado,Retrasado,7516.08
10103,26,207.87,11,5404.62,29/01/2018,878,Shipped,Classic Cars,214,S10_1949,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,Bergulfsen,Jonas,Medium,0.0,Mediana,Distante,Completado,5404.62
10112,29,248.59,1,7209.11,24/03/2018,825,Shipped,Classic Cars,214,S10_1949,"Volvo Model Replicas, Co",0921-12 3555,Berguvsvgen  8,Lule,S-958 22,Sweden,Berglund,Christina,Large,0.0,Mediana,Distante,Completado,7209.11
10126,38,192.87,11,7329.06,28/05/2018,761,Shipped,Classic Cars,214,S10_1949,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Madrid,28023,Spain,Sommer,Mart¡n,Large,0.0,Mediana,Distante,Completado,7329.06
10140,37,199.3,11,7374.1,24/07/2018,705,Shipped,Classic Cars,214,S10_1949,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,94217,USA,Hirano,Juri,Large,0.0,Mediana,Distante,Completado,7374.1
10150,45,244.3,8,10993.5,19/09/2018,649,Shipped,Classic Cars,214,S10_1949,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,79903,Singapore,Natividad,Eric,Large,0.0,Mediana,Distante,Completado,10993.5
10163,21,231.44,1,4860.24,20/10/2018,619,Shipped,Classic Cars,214,S10_1949,Classic Legends Inc.,2125558493,5905 Pompton St.,NYC,10022,USA,Hernandez,Maria,Medium,0.0,Pequeña,Distante,Completado,4860.24
10174,34,235.73,4,8014.82,06/11/2018,603,Shipped,Classic Cars,214,S10_1949,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,4101,Australia,Calaghan,Tony,Large,0.0,Mediana,Distante,Completado,8014.82
10183,23,233.59,8,5372.57,13/11/2018,597,Shipped,Classic Cars,214,S10_1949,"Classic Gift Ideas, Inc",2155554695,782 First Street,Philadelphia,71270,USA,Cervantes,Francisca,Medium,0.0,Mediana,Distante,Completado,5372.57
10194,42,173.58,11,7290.36,25/11/2018,586,Shipped,Classic Cars,214,S10_1949,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Lyon,69004,France,Saveley,Mary,Large,-1.2475305770537096e-16,Mediana,Distante,Completado,7290.360000000001
10206,47,192.87,6,9064.89,05/12/2018,577,Shipped,Classic Cars,214,S10_1949,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,Vancouver,V3F 2K1,Canada,Tannamuri,Yoshi,Large,0.0,Mediana,Distante,Completado,9064.89
10215,35,173.58,3,6075.3,29/01/2019,523,Shipped,Classic Cars,214,S10_1949,West Coast Collectables Co.,3105553722,3675 Furth Circle,Burbank,94019,USA,Thompson,Steve,Medium,0.0,Mediana,Distante,Completado,6075.3
10228,29,222.87,2,6463.23,10/03/2019,484,Shipped,Classic Cars,214,S10_1949,Cambridge Collectables Co.,6175555555,4658 Baden Av.,Cambridge,51247,USA,Tseng,Kyung,Medium,-1.407182943780321e-16,Mediana,Distante,Completado,6463.2300000000005
10245,34,180.01,9,6120.34,04/05/2019,430,Shipped,Classic Cars,214,S10_1949,Super Scale Inc.,2035559545,567 North Pendale Street,New Haven,97823,USA,Murphy,Leslie,Medium,0.0,Mediana,Distante,Completado,6120.34
10258,32,240.02,6,7680.64,15/06/2019,389,Shipped,Classic Cars,214,S10_1949,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,106-0032,Japan,Shimamura,Akiko,Large,0.0,Mediana,Distante,Completado,7680.64
10270,21,233.59,9,4905.39,19/07/2019,356,Shipped,Classic Cars,214,S10_1949,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia,Huxley,Adrian,Medium,0.0,Pequeña,Distante,Completado,4905.39
10280,34,235.73,2,8014.82,17/08/2019,328,Shipped,Classic Cars,214,S10_1949,Amica Models & Co.,011-4988555,Via Monte Bianco 34,Torino,10100,Italy,Accorti,Paolo,Large,0.0,Mediana,Distante,Completado,8014.82
10291,37,192.87,11,7136.19,08/09/2019,307,Shipped,Classic Cars,214,S10_1949,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Boras,S-844 67,Sweden,Larsson,Maria,Large,-1.2744821841527878e-16,Mediana,Distante,Completado,7136.1900000000005
10304,47,216.44,6,10172.7,11/10/2019,275,Shipped,Classic Cars,214,S10_1949,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",Versailles,78000,France,Tonini,Daniel,Large,1.966046379076996e-06,Mediana,Distante,Completado,10172.68
10312,48,242.16,3,11623.7,21/10/2019,266,Shipped,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Large,1.7206225212657377e-06,Mediana,Distante,Completado,11623.68
10322,40,150.01,1,6000.4,04/11/2019,253,Shipped,Classic Cars,214,S10_1949,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,62005,USA,Young,Valarie,Medium,0.0,Mediana,Distante,Completado,6000.4
